Date,Hour,Northbound Volume,Southbound Volume
1/1/2020,0.0,199,108
1/1/2020,0.25,315,316
1/1/2020,0.5,355,247
1/1/2020,0.75,289,350
1/1/2020,1.0,212,317
1/1/2020,1.25,182,256
1/1/2020,1.5,274,252
1/1/2020,1.75,198,226
1/1/2020,2.0,218,166
1/1/2020,2.25,142,155
1/1/2020,2.5,94,143
1/1/2020,2.75,116,100
1/1/2020,3.0,84,62
1/1/2020,3.25,91,40
1/1/2020,3.5,100,31
1/1/2020,3.75,44,43
1/1/2020,4.0,66,24
1/1/2020,4.25,91,24
1/1/2020,4.5,94,36
1/1/2020,4.75,53,59
1/1/2020,5.0,52,23
1/1/2020,5.25,92,48
1/1/2020,5.5,82,18
1/1/2020,5.75,58,63
1/1/2020,6.0,95,32
1/1/2020,6.25,87,55
1/1/2020,6.5,103,51
1/1/2020,6.75,111,47
1/1/2020,7.0,104,39
1/1/2020,7.25,100,50
1/1/2020,7.5,78,66
1/1/2020,7.75,136,88
1/1/2020,8.0,159,79
1/1/2020,8.25,115,76
1/1/2020,8.5,151,95
1/1/2020,8.75,151,182
1/1/2020,9.0,131,173
1/1/2020,9.25,155,111
1/1/2020,9.5,150,139
1/1/2020,9.75,210,139
1/1/2020,10.0,250,151
1/1/2020,10.25,284,154
1/1/2020,10.5,358,196
1/1/2020,10.75,210,163
1/1/2020,11.0,267,147
1/1/2020,11.25,303,163
1/1/2020,11.5,307,167
1/1/2020,11.75,368,140
1/1/2020,12.0,248,112
1/1/2020,12.25,290,72
1/1/2020,12.5,335,86
1/1/2020,12.75,287,117
1/1/2020,13.0,325,185
1/1/2020,13.25,371,205
1/1/2020,13.5,337,276
1/1/2020,13.75,496,260
1/1/2020,14.0,515,335
1/1/2020,14.25,555,352
1/1/2020,14.5,464,324
1/1/2020,14.75,499,302
1/1/2020,15.0,503,410
1/1/2020,15.25,467,422
1/1/2020,15.5,545,306
1/1/2020,15.75,547,377
1/1/2020,16.0,486,380
1/1/2020,16.25,447,420
1/1/2020,16.5,492,335
1/1/2020,16.75,468,359
1/1/2020,17.0,412,109
1/1/2020,17.25,337,0
1/1/2020,17.5,247,0
1/1/2020,17.75,362,0
1/1/2020,18.0,319,38
1/1/2020,18.25,378,28
1/1/2020,18.5,380,15
1/1/2020,18.75,343,43
1/1/2020,19.0,332,27
1/1/2020,19.25,330,43
1/1/2020,19.5,311,52
1/1/2020,19.75,247,75
1/1/2020,20.0,255,99
1/1/2020,20.25,227,107
1/1/2020,20.5,275,111
1/1/2020,20.75,236,123
1/1/2020,21.0,255,122
1/1/2020,21.25,238,151
1/1/2020,21.5,295,147
1/1/2020,21.75,223,139
1/1/2020,22.0,219,172
1/1/2020,22.25,159,131
1/1/2020,22.5,172,115
1/1/2020,22.75,119,116
1/1/2020,23.0,120,52
1/1/2020,23.25,104,67
1/1/2020,23.5,115,91
1/1/2020,23.75,87,63
